Results
ID  Team      Items       Satisfaction   
1   1         1/50        23.51          
14  2         0/50        33.22          
13  1         0/50        33.22          
11  6         0/50        33.22          
10  6         0/50        33.22          
7   4         0/50        33.22          
4   3         0/50        33.22          
3   2         0/50        33.22          
2   2         0/50        33.22          
5   3         0/50        24.0           
12  4         0/50        11.61          
9   5         0/50        8.0            
8   5         0/50        0.0            
6   4         0/50        0.0            
Game Over!
